,Title,IMSDB-Genres,Writers,Movie-Title,IMDB-ID,Filename,BOM-url,Distributor,OW-Revenue,OW-Opens,Release-Date,Days-in-Release,MPAA,Runtime,Genres,Widest-Release,Domestic-Total,WorldWide-Total,Budget
2,12 and Holding,['Drama'],['Anthony Cipriano'],12_and_Holding,417385,./data/IMSDB/texts/12_and_Holding.txt,https://www.boxofficemojo.com/release/rl309757441,IFC Films,"11,456",3,"May 19, 2006",227 days,R,95.0,['Drama'],15,"96,464","119,195",
6,15 Minutes,"['Action', 'Crime', 'Thriller']",['John Hertzfield'],15_Minutes,179626,./data/IMSDB/texts/15_Minutes.txt,,,,,,,,,,,,,
8,187,['Drama'],['Scott Yagemann'],187,118531,./data/IMSDB/texts/187.txt,https://www.boxofficemojo.com/release/rl54625793,Warner Bros.,"2,222,984","1,121","Jul 30, 1997",155 days,R,119.0,"['Drama', 'Thriller']","1,121","5,727,130","5,727,130",
15,44 Inch Chest,"['Crime', 'Drama']","['Louis Mellis', 'David Scinto']",44_Inch_Chest,914837,./data/IMSDB/texts/44_Inch_Chest.txt,,,,,,,,,,,,,
16,48 Hrs.,"['Action', 'Comedy', 'Thriller']","['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart']",48_Hrs,83511,./data/IMSDB/texts/48_Hrs.txt,https://www.boxofficemojo.com/release/rl4030825985,Paramount Pictures,"4,369,868",850,"Dec 10, 1982",387 days,,96.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","1,050","78,868,508","78,868,508",
17,50-50,"['Comedy', 'Drama']",['Will Reiser'],50-50,483971,./data/IMSDB/texts/50-50.txt,,,,,,,,,,,,,
23,A Prayer Before Dawn,"['Crime', 'Drama']",['Jonathan Hirschbein'],A_Prayer_Before_Dawn,4080956,./data/IMSDB/texts/A_Prayer_Before_Dawn.txt,https://www.boxofficemojo.com/release/rl1543865857,A24,"14,453",13,"Aug 10, 2018",144 days,R,116.0,"['Action', 'Biography', 'Crime', 'Drama', 'Sport']",13,"14,453","958,883",
27,Above the Law,['Action'],"['Steven Pressfield', 'Ronald Shusett', 'Andrew Davis', 'Steven Seagal']",Above_the_Law,94602,./data/IMSDB/texts/Above_the_Law.txt,https://www.boxofficemojo.com/release/rl306218497,Warner Bros.,"2,037,938",350,"(Wide)Apr 8, 1988",268 days,,99.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",868,"18,869,631","18,869,631",
33,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The","['Adventure', 'Comedy', 'Romance', 'Sci-Fi']",['Earl Mac Rauch'],Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension,86856,./data/IMSDB/texts/Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension.txt,https://www.boxofficemojo.com/release/rl2856945153,Twentieth Century Fox,"620,279",236,"Aug 10, 1984",147 days,,103.0,"['Adventure', 'Comedy', 'Romance', 'Sci-Fi']",236,"6,254,148","6,254,148",
35,After School Special,['Comedy'],['David H. Steinberg'],After_School_Special,302297,./data/IMSDB/texts/After_School_Special.txt,https://www.boxofficemojo.com/release/rl4282746369,Sony Pictures Entertainment (SPE),"15,766",20,"Oct 21, 2005",72 days,R,90.0,['Comedy'],20,"26,511","83,439",
37,Agnes of God,"['Drama', 'Mystery']",['John Pielmeier'],Agnes_of_God,88683,./data/IMSDB/texts/Agnes_of_God.txt,https://www.boxofficemojo.com/release/rl2621474305,Columbia Pictures,"221,552",8,"(Wide)Sep 13, 1985",112 days,,98.0,"['Drama', 'Mystery']",646,"25,627,836","25,627,836",
38,Airplane,"['Comedy', 'Romance']","['Jim Abrahams', ' David Zucker', 'Jerry Zucker']",Airplane,80339,./data/IMSDB/texts/Airplane.txt,,,,,,,,,,,,,
39,Airplane 2: The Sequel,"['Comedy', 'Sci-Fi']",['Ken Finkleman'],Airplane_2:_The_Sequel,83530,./data/IMSDB/texts/Airplane_2:_The_Sequel.txt,https://www.boxofficemojo.com/release/rl2252375553,Paramount Pictures,"5,329,208","1,150","Dec 10, 1982",387 days,,85.0,"['Comedy', 'Sci-Fi']","1,300","27,150,534","27,150,534",
44,Alien Nation,"['Crime', 'Drama', 'Sci-Fi']","[""Rockne O'Bannon"", 'James Cameron']",Alien_Nation,94631,./data/IMSDB/texts/Alien_Nation.txt,https://www.boxofficemojo.com/release/rl3275785729,Twentieth Century Fox,"8,421,429","1,430","Oct 7, 1988",91 days,,91.0,"['Action', 'Sci-Fi']","1,436","25,216,243","32,155,047",
48,All About Eve,['Drama'],['Joseph Mankiewicz'],All_About_Eve,42192,./data/IMSDB/texts/All_About_Eve.txt,,,,,,,,,,,,,
50,All the King's Men,['Drama'],['Robert Rossen'],All_the_King's_Men,41113,./data/IMSDB/texts/All_the_King's_Men.txt,,,,,,,,,,,,,
51,All the President's Men,"['Drama', 'Thriller']",['William Goldman'],All_the_President's_Men,74119,./data/IMSDB/texts/All_the_President's_Men.txt,,,,,,,,,,,,,
58,American Graffiti,"['Comedy', 'Drama']","['George Lucas', 'Gloria Katz', 'Willard Huyck']",American_Graffiti,69704,./data/IMSDB/texts/American_Graffiti.txt,,,,,,,,,,,,,
59,American History X,"['Crime', 'Drama', 'Thriller']",['David McKenna'],American_History_X,120586,./data/IMSDB/texts/American_History_X.txt,,,,,,,,,,,,,
62,American Milkshake,['Comedy'],"['David Andalman', 'Mariko Munro']",American_Milkshake,11347410,./data/IMSDB/texts/American_Milkshake.txt,,,,,,,,,,,,,
67,American Shaolin: King of Kickboxers II,['Action'],['Keith Strandburg'],American_Shaolin:_King_of_Kickboxers_II,101327,./data/IMSDB/texts/American_Shaolin:_King_of_Kickboxers_II.txt,,,,,,,,,,,,,
70,American Werewolf in London,"['Comedy', 'Horror', 'Romance']",['John Landis'],American_Werewolf_in_London,82010,./data/IMSDB/texts/American_Werewolf_in_London.txt,https://www.boxofficemojo.com/release/rl2336458241,Universal Pictures,"3,786,512",870,"Aug 21, 1981",133 days,,97.0,"['Comedy', 'Horror']",870,"30,565,292","30,565,292",
71,"American, The","['Crime', 'Drama', 'Thriller']",['Rowan Joffe'],American,1844624,./data/IMSDB/texts/American.txt,,,,,,,,,,,,,
72,"Amityville Asylum, The",['Horror'],['Andrew Jones'],Amityville_Asylum,2216212,./data/IMSDB/texts/Amityville_Asylum.txt,,,,,,,,,,,,,
82,"Anniversary Party, The",['Drama'],"['Alan Cummings', 'Jennifer Jason Leigh']",Anniversary_Party,254099,./data/IMSDB/texts/Anniversary_Party.txt,https://www.boxofficemojo.com/release/rl407012865,Fine Line Features,"158,533",11,"Jun 8, 2001",207 days,R,115.0,"['Comedy', 'Drama', 'Romance']",120,"4,047,329","4,931,888",
86,"Apartment, The",['Comedy'],"['Billy Wilder', 'I.A.L Diamond']",Apartment,53604,./data/IMSDB/texts/Apartment.txt,,,,,,,,,,,,,
90,Apt Pupil,"['Drama', 'Thriller']",['Brandon Boyce'],Apt_Pupil,118636,./data/IMSDB/texts/Apt_Pupil.txt,https://www.boxofficemojo.com/release/rl1380091393,Sony Pictures Entertainment (SPE),"3,583,151","1,448","Oct 23, 1998",77 days,R,111.0,"['Crime', 'Drama', 'Thriller']","1,448","8,863,193","8,863,193",
92,Arcade,['Sci-Fi'],['David S. Goyer'],Arcade,367345,./data/IMSDB/texts/Arcade.txt,,,,,,,,,,,,,
93,Arctic Blue,"['Action', 'Thriller']",['Ross LaManna'],Arctic_Blue,1523267,./data/IMSDB/texts/Arctic_Blue.txt,,,,,,,,,,,,,
94,Argo,"['Drama', 'Thriller']",['Chris Terrio'],Argo,1024648,./data/IMSDB/texts/Argo.txt,,,,,,,,,,,,,
97,Arsenic and Old Lace,"['Comedy', 'Crime']","['Julius J. Epstein', 'Philip G. Epstein', 'Joseph Kesselring']",Arsenic_and_Old_Lace,36613,./data/IMSDB/texts/Arsenic_and_Old_Lace.txt,,,,,,,,,,,,,
98,Arthur,['Comedy'],['Peter Baynham'],Arthur,169414,./data/IMSDB/texts/Arthur.txt,,,,,,,,,,,,,
102,"Assignment, The",['Thriller'],"['Dan Gordon', 'Sabi H. Shabtai']",Assignment,5034474,./data/IMSDB/texts/Assignment.txt,https://www.boxofficemojo.com/release/rl3731784961,,"5,472",45,"Dec 6, 2018",26 days,R,95.0,"['Action', 'Crime', 'Thriller']",45,"15,334","15,334",
107,Authors Anonymous,['Comedy'],['David Congalton'],Authors_Anonymous,2114461,./data/IMSDB/texts/Authors_Anonymous.txt,,,,,,,,,,,,,
109,Avatar,"['Action', 'Adventure', 'Sci-Fi']",['James Cameron'],Avatar,417299,./data/IMSDB/texts/Avatar.txt,,,,,,,,,,,,,
112,"Avventura, L' (The Adventure)","['Drama', 'Mystery', 'Thriller']","['Michelangelo Antonioni', 'Elio Bartolini', 'Tonino Guerra']",Avventura,1714157,./data/IMSDB/texts/Avventura.txt,,,,,,,,,,,,,
113,Awakenings,['Drama'],['Steven Zaillian'],Awakenings,99077,./data/IMSDB/texts/Awakenings.txt,https://www.boxofficemojo.com/release/rl558204417,Columbia Pictures,"417,076",12,"(Wide)Dec 22, 1990",375 days,,121.0,"['Biography', 'Drama']","1,330","52,096,475","52,096,475",
115,Bachelor Party,['Comedy'],"['Neal Israel', 'Pat Proft', 'Bob Israel']",Bachelor_Party,86927,./data/IMSDB/texts/Bachelor_Party.txt,https://www.boxofficemojo.com/release/rl3628434945,Twentieth Century Fox,"4,573,530","1,081","Jun 29, 1984",186 days,,105.0,['Comedy'],"1,276","38,435,947","38,435,947",
116,"Bachelor Party, The",['Drama'],['Paddy Chayefsky'],Bachelor_Party,86927,./data/IMSDB/texts/Bachelor_Party.txt,https://www.boxofficemojo.com/release/rl3628434945,Twentieth Century Fox,"4,573,530","1,081","Jun 29, 1984",186 days,,105.0,['Comedy'],"1,276","38,435,947","38,435,947",
118,Backdraft,"['Action', 'Drama', 'Mystery', 'Thriller']",['Gregory Widen'],Backdraft,101393,./data/IMSDB/texts/Backdraft.txt,https://www.boxofficemojo.com/release/rl1933936129,Universal Pictures,"12,686,200","1,852","May 24, 1991",222 days,R,137.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","1,983","77,868,585","152,368,585",
120,Bad Country,"['Action', 'Crime', 'Drama']",['Jonathan Hirschbein'],Bad_Country,2350892,./data/IMSDB/texts/Bad_Country.txt,,,,,,,,,,,,,
121,Bad Day at Black Rock,"['Drama', 'Thriller', 'Western']","['Don McGuire', 'Millard Kaufman', 'Howard Breslin']",Bad_Day_at_Black_Rock,47849,./data/IMSDB/texts/Bad_Day_at_Black_Rock.txt,,,,,,,,,,,,,
122,Bad Dreams,"['Horror', 'Thriller']","['Andrew Fleming', 'Steven E. de Souza']",Bad_Dreams,94701,./data/IMSDB/texts/Bad_Dreams.txt,https://www.boxofficemojo.com/release/rl1564837377,Twentieth Century Fox,"4,008,870","1,180","Apr 8, 1988",268 days,,80.0,"['Horror', 'Thriller']","1,185","9,797,098","9,797,098",
123,Bad Lieutenant,"['Crime', 'Drama']","['Abel Ferrara', 'Zoe Lund']",Bad_Lieutenant,103759,./data/IMSDB/texts/Bad_Lieutenant.txt,https://www.boxofficemojo.com/release/rl1430619649,Aries Films,"47,454",2,"Nov 20, 1992",49 days,NC-17,96.0,"['Crime', 'Drama', 'Thriller']",2,"2,000,022","2,019,469",
126,Badlands,"['Crime', 'Thriller', 'Drama']",['Terence Malick'],Badlands,3865236,./data/IMSDB/texts/Badlands.txt,,,,,,,,,,,,,
128,Barry Lyndon,"['Drama', 'Romance', 'War']",['Stanley Kubrick'],Barry_Lyndon,72684,./data/IMSDB/texts/Barry_Lyndon.txt,https://www.boxofficemojo.com/release/rl4057236481,British Film Institute (BFI),"8,817",1,"Jan 30, 2009",336 days,,185.0,"['Adventure', 'Drama', 'History', 'War']",1 theater,"22,771","22,771",
129,Barton Fink,"['Comedy', 'Drama', 'Thriller']","['Joel Coen', 'Ethan Coen']",Barton_Fink,101410,./data/IMSDB/texts/Barton_Fink.txt,https://www.boxofficemojo.com/release/rl3947202049,Twentieth Century Fox,"268,561",11,"Aug 23, 1991",131 days,R,116.0,"['Comedy', 'Drama', 'Thriller']",189,"6,153,939","6,153,939",
135,"Battle of Algiers, The","['Drama', 'War']","['Gillo Pontecorvo', 'Franco Solinas']",Battle_of_Algiers,58946,./data/IMSDB/texts/Battle_of_Algiers.txt,,,,,,,,,,,,,
145,Being Human,"['Comedy', 'Drama', 'Fantasy']",['Bill Forsyth'],Being_Human,1349938,./data/IMSDB/texts/Being_Human.txt,,,,,,,,,,,,,
147,Being There,"['Comedy', 'Drama']","['Jerry Kosinski', 'Robert C. Jones']",Being_There,78841,./data/IMSDB/texts/Being_There.txt,,,,,,,,,,,,,
149,Belle,"['Drama', 'Romance']",['Misan Sagay'],Belle,2404181,./data/IMSDB/texts/Belle.txt,https://www.boxofficemojo.com/release/rl3091498497,Fox Searchlight Pictures,"106,578",4,"May 2, 2014",244 days,PG,100.0,"['Biography', 'Drama', 'Romance']",525,"10,726,630","16,607,575",
151,Benny & Joon,"['Comedy', 'Romance']","['Barry Berman', 'Lesley McNeil']",Benny_&_Joon,106387,./data/IMSDB/texts/Benny_&_Joon.txt,https://www.boxofficemojo.com/release/rl2705622529,Metro-Goldwyn-Mayer (MGM),"3,285,063",408,"(Wide)Apr 16, 1993",260 days,PG,98.0,"['Comedy', 'Drama', 'Romance']","1,314","23,261,580","23,261,580",
154,"Big Blue, The","['Drama', 'Romance']","['Luc Besson', 'Robert Garland']",Big_Blue,95250,./data/IMSDB/texts/Big_Blue.txt,https://www.boxofficemojo.com/release/rl793216513,Columbia Pictures,"1,617,462",967,"Aug 19, 1988",135 days,PG,168.0,"['Adventure', 'Drama', 'Sport']",967,"3,500,000","3,500,000",
158,"Big Sick, The","['Comedy', 'Drama', 'Romance']","['Emily V. Gordon', 'Kumail Nanjiani']",Big_Sick,5462602,./data/IMSDB/texts/Big_Sick.txt,,,,,,,,,,,,,
159,"Big White, The","['Comedy', 'Crime', 'Drama']",['Collin Friesen'],Big_White,402850,./data/IMSDB/texts/Big_White.txt,,,,,,,,,,,,,
161,"Birds, The","['Drama', 'Horror', 'Thriller', 'Romance']","['Daphne Du Maurier', 'Evan Hunter']",Birds,56869,./data/IMSDB/texts/Birds.txt,,,,,,,,,,,,,
169,Blade,"['Action', 'Horror', 'Sci-Fi']",['David S. Goyer'],Blade,120611,./data/IMSDB/texts/Blade.txt,,,,,,,,,,,,,
175,"Bling Ring, The","['Crime', 'Drama']",['Sofia Coppola'],Bling_Ring,2132285,./data/IMSDB/texts/Bling_Ring.txt,https://www.boxofficemojo.com/release/rl3846669825,A24,"214,395",5,"(Wide)Jun 14, 2013",201 days,R,90.0,"['Biography', 'Crime', 'Drama']",650,"5,845,732","20,045,576",
177,Blood Simple,"['Drama', 'Thriller']","['Joel Coen', 'Ethan Coen']",Blood_Simple,86979,./data/IMSDB/texts/Blood_Simple.txt,,,,,,,,,,,,,
180,Blue Velvet,"['Crime', 'Drama', 'Mystery', 'Thriller']",['David Lynch'],Blue_Velvet,90756,./data/IMSDB/texts/Blue_Velvet.txt,,,,,,,,,,,,,
181,"Bodies, Rest & Motion","['Drama', 'Romance']",['Roger Hedden'],Bodies,106447,./data/IMSDB/texts/Bodies.txt,https://www.boxofficemojo.com/release/rl1883670017,New Line Cinema,"75,957",6,"Apr 9, 1993",267 days,R,95.0,['Drama'],6,"764,724","764,724",
182,Body Heat,"['Crime', 'Thriller']",['Lawrence Kasdan'],Body_Heat,82089,./data/IMSDB/texts/Body_Heat.txt,https://www.boxofficemojo.com/release/rl1749452289,Warner Bros.,"564,593",34,"Aug 28, 1981",126 days,,113.0,"['Crime', 'Drama', 'Romance', 'Thriller']",34,"24,058,838","24,058,838",
183,Body of Evidence,"['Romance', 'Thriller']",['Brad Mirman'],Body_of_Evidence,1587669,./data/IMSDB/texts/Body_of_Evidence.txt,,,,,,,,,,,,,
184,Bodyguard,"['Drama', 'Romance', 'Thriller']",['Lawrence Kasdan'],Bodyguard,7493974,./data/IMSDB/texts/Bodyguard.txt,,,,,,,,,,,,,
185,Bones,['Horror'],"['Adam Simon', 'Tim Metcalfe']",Bones,460627,./data/IMSDB/texts/Bones.txt,,,,,,,,,,,,,
187,Bonnie and Clyde,"['Crime', 'Drama', 'Romance']","['David Newman', 'Robert Benton']",Bonnie_and_Clyde,61418,./data/IMSDB/texts/Bonnie_and_Clyde.txt,,,,,,,,,,,,,
198,"Box, The","['Drama', 'Mystery', 'Sci-Fi']","['Richard Kelly', 'Richard Matheson']",Box,12298506,./data/IMSDB/texts/Box.txt,,,,,,,,,,,,,
203,Break,['Drama'],['Oliver Stone'],Break,86998,./data/IMSDB/texts/Break.txt,https://www.boxofficemojo.com/release/rl1028228609,Cannon Film s,"6,047,686","1,069","May 4, 1984",242 days,,90.0,"['Comedy', 'Drama', 'Music', 'Romance']","1,121","38,682,707","38,682,707",
205,"Breakfast Club, The","['Comedy', 'Drama']",['John Hughes'],Breakfast_Club,88847,./data/IMSDB/texts/Breakfast_Club.txt,https://www.boxofficemojo.com/release/rl3326510593,Universal Pictures,"5,107,599","1,071","Feb 15, 1985",320 days,,97.0,"['Comedy', 'Drama']","1,118","45,875,171","51,525,171",
206,Breaking Away,"['Comedy', 'Drama']",['Steve Tesich'],Breaking_Away,78902,./data/IMSDB/texts/Breaking_Away.txt,https://www.boxofficemojo.com/release/rl3477505537,Twentieth Century Fox,"17,702",1,"Jul 13, 1979",172 days,,101.0,"['Comedy', 'Drama', 'Romance', 'Sport']",95,"16,424,918","16,424,918",
210,Broadcast News,"['Comedy', 'Drama', 'Romance']",['James L. Brooks'],Broadcast_News,92699,./data/IMSDB/texts/Broadcast_News.txt,https://www.boxofficemojo.com/release/rl1967752705,Twentieth Century Fox,"197,542",7,"(Wide)Dec 18, 1987",380 days,,133.0,"['Comedy', 'Drama', 'Romance']",848,"51,249,404","67,331,309",
212,Broken Embraces,"['Drama', 'Romance', 'Thriller']",['Pedro Almodovar'],Broken_Embraces,913425,./data/IMSDB/texts/Broken_Embraces.txt,https://www.boxofficemojo.com/release/rl1816757761,Sony Pictures Classics,"107,111",2,"Nov 20, 2009",407 days,R,127.0,"['Drama', 'Romance', 'Thriller']",202,"5,014,305","37,472,507",
215,Buffy the Vampire Slayer,"['Action', 'Comedy', 'Horror']",['Joss Whedon'],Buffy_the_Vampire_Slayer,118276,./data/IMSDB/texts/Buffy_the_Vampire_Slayer.txt,,,,,,,,,,,,,
216,Bull Durham,"['Comedy', 'Drama', 'Romance']",['Ron Shelton'],Bull_Durham,94812,./data/IMSDB/texts/Bull_Durham.txt,https://www.boxofficemojo.com/release/rl2286519809,Orion Pictures,"5,009,301","1,238","Jun 17, 1988",198 days,,108.0,"['Comedy', 'Romance', 'Sport']","1,297","50,888,729","50,888,729",
220,Burning Annie,"['Comedy', 'Drama', 'Romance']",['Zack Ordynans'],Burning_Annie,12837148,./data/IMSDB/texts/Burning_Annie.txt,,,,,,,,,,,,,
223,Candle to Water,['Drama'],['Nick Green'],Candle_to_Water,1374525,./data/IMSDB/texts/Candle_to_Water.txt,,,,,,,,,,,,,
225,Carrie,"['Horror', 'Thriller']","['Lawrence D. Cohen', 'Stephen King']",Carrie,74285,./data/IMSDB/texts/Carrie.txt,,,,,,,,,,,,,
239,Chaos,"['Action', 'Crime', 'Drama', 'Thriller']",['Tony Giglio'],Chaos,8267604,./data/IMSDB/texts/Chaos.txt,https://www.boxofficemojo.com/release/rl4228154881,Sony Pictures Classics,"24,988",3,"Dec 14, 2018",383 days,R,126.0,['Drama'],136,"1,661,096","64,417,003",
240,Charade,"['Comedy', 'Mystery', 'Romance', 'Thriller']",['Peter Stone'],Charade,56923,./data/IMSDB/texts/Charade.txt,,,,,,,,,,,,,
243,Chasing Sleep,"['Horror', 'Thriller']",['Michael Walker'],Chasing_Sleep,221069,./data/IMSDB/texts/Chasing_Sleep.txt,,,,,,,,,,,,,
244,Cherry Falls,"['Horror', 'Thriller', 'Comedy', 'Mystery']",['Ken Selden'],Cherry_Falls,175526,./data/IMSDB/texts/Cherry_Falls.txt,,,,,,,,,,,,,
245,Chinatown,"['Crime', 'Mystery', 'Thriller']",['Robert Towne'],Chinatown,71315,./data/IMSDB/texts/Chinatown.txt,,,,,,,,,,,,,
246,Christ Complex,"['Comedy', 'Fantasy']",['Jeffrey Scott Richards'],Christ_Complex,7519956,./data/IMSDB/texts/Christ_Complex.txt,,,,,,,,,,,,,
250,"Cincinnati Kid, The",['Drama'],"['Ring Lardner Jr', 'Terry Southern', 'Richard Jessup']",Cincinnati_Kid,59037,./data/IMSDB/texts/Cincinnati_Kid.txt,,,,,,,,,,,,,
251,Cinema Paradiso,"['Drama', 'Romance']",['Giuseppe Tornatore'],Cinema_Paradiso,95765,./data/IMSDB/texts/Cinema_Paradiso.txt,https://www.boxofficemojo.com/release/rl4048258561,Miramax,"16,552",1,"Feb 2, 1990",333 days,R,155.0,['Drama'],124,"11,990,401","11,990,401",
253,Citizen Kane,"['Drama', 'Mystery']","['Herman J. Mankiewicz', 'Orson Welles']",Citizen_Kane,33467,./data/IMSDB/texts/Citizen_Kane.txt,,,,,,,,,,,,,
254,City of Joy,['Drama'],"['Gerald Brach', 'Roland Joffe']",City_of_Joy,103976,./data/IMSDB/texts/City_of_Joy.txt,https://www.boxofficemojo.com/release/rl3528164865,TriStar Pictures,"3,405,890",842,"Apr 17, 1992",259 days,PG-13,132.0,['Drama'],919,"14,683,921","14,683,921",
259,Cobb,['Drama'],['Ron Shelton'],Cobb,109450,./data/IMSDB/texts/Cobb.txt,https://www.boxofficemojo.com/release/rl1917486593,Warner Bros.,"63,786",4,"Dec 2, 1994",35 days,R,128.0,"['Biography', 'Drama', 'Sport']",4,"1,007,583","1,007,583",
261,Code of Silence,"['Action', 'Drama']","['Michael Butler', 'Dennis Shryack', 'Mike Gray', 'John Mason']",Code_of_Silence,88936,./data/IMSDB/texts/Code_of_Silence.txt,https://www.boxofficemojo.com/release/rl1481278977,Orion Pictures,"5,512,461","1,810","May 3, 1985",243 days,,101.0,"['Action', 'Crime', 'Drama', 'Thriller']","1,810","20,345,361","20,345,361",
263,Collateral,"['Action', 'Crime', 'Thriller']","['Stuart Beattie', 'Frank Darabont', 'Michael Mann']",Collateral,369339,./data/IMSDB/texts/Collateral.txt,,,,,,,,,,,,,
281,Crazylove,"['Drama', 'Romance']",['Carol Watson'],Crazylove,790706,./data/IMSDB/texts/Crazylove.txt,https://www.boxofficemojo.com/release/rl1716356609,Magnolia Pictures,"17,952",3,"Jun 1, 2007",214 days,PG-13,90.0,"['Documentary', 'Romance']",38,"301,027","357,659",
282,Creation,['Drama'],['John Collee'],Creation,974014,./data/IMSDB/texts/Creation.txt,https://www.boxofficemojo.com/release/rl1548584449,Newmarket Films,"53,073",7,"Jan 22, 2010",344 days,PG-13,108.0,"['Biography', 'Drama', 'Romance']",12,"341,323","2,058,675",
283,Crime Spree,"['Crime', 'Comedy']",['Brad Mirman'],Crime_Spree,310924,./data/IMSDB/texts/Crime_Spree.txt,,,,,,,,,,,,,
285,"Crouching Tiger, Hidden Dragon","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']","['Wang Hui Ling', 'James Schamus', 'Tsai Kuo Jung']",Crouching_Tiger,190332,./data/IMSDB/texts/Crouching_Tiger.txt,,,,,,,,,,,,,
286,Croupier,"['Crime', 'Drama']",['Paul Mayersberg'],Croupier,159382,./data/IMSDB/texts/Croupier.txt,https://www.boxofficemojo.com/release/rl2756544001,TSG,"63,472",19,"Apr 21, 2000",255 days,,94.0,"['Crime', 'Drama']",141,"6,201,143","7,075,068",
287,"Crow Salvation, The","['Action', 'Drama', 'Crime', 'Horror', 'Thriller']",['Chip Johannessen'],Crow_Salvation,132910,./data/IMSDB/texts/Crow_Salvation.txt,,,,,,,,,,,,,
